player1_name,player1_atprank,player1_games,player1_wins,player1_losses,player1_indoor_wins,player1_indoor_losses,player1_outdoor_wins,player1_outdoor_losses,player2_name,player2_atprank,player2_games,player2_wins,player2_losses,player2_indoor_wins,player2_indoor_losses,player2_outdoor_wins,player2_outdoor_losses,tournament_name,tournament_location,tournament_court,tournament_surface,match_date,match_odd_player1,match_odd_player2,winner_player1
Vilella Martinez M.,167,10,4,6,0,0,4,6,Hanfmann Y.,50,99,50,49,5,4,45,45,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.37,1.53,1
Dellien H.,164,70,22,48,5,5,17,43,Stebe C.M.,231,76,28,48,4,7,24,41,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,4.33,1.2,0
Safiullin R.,92,42,20,22,7,7,13,15,Stakhovsky S.,200,339,145,194,46,51,99,143,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,1.36,3.0,0
Coppejans K.,188,11,0,11,0,3,0,8,Haase R.,257,458,202,256,35,54,167,202,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,2.25,1.57,0
Fancutt T.,562,1,0,1,0,0,0,1,Monteiro T.,121,171,69,102,9,11,60,91,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,5.5,1.14,0
Van De Zandschulp B.,44,117,63,54,11,11,52,43,Schoolkate T.,844,1,0,1,0,0,0,1,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-02,1.33,3.25,1
Kubler J.,77,53,24,29,0,1,24,28,Berankis R.,212,249,104,145,36,31,68,114,Murray River Open,Melbourne,Outdoor,Hard,2021-02-02,2.62,1.44,0
Moutet C.,80,118,50,68,5,11,45,57,Ramos-Vinolas A.,82,437,204,233,17,31,187,202,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.44,2.62,1
Harris A.,232,3,1,2,0,0,1,2,Dimitrov G.,20,651,389,262,79,50,310,212,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,5.5,1.14,0
Auger-Aliassime F.,12,268,163,105,48,22,115,83,Sugita Y.,131,129,47,82,6,12,41,70,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.16,5.0,1
Kyrgios N.,25,303,195,108,11,7,184,101,Bourchier H.,324,2,1,1,0,0,1,1,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.12,6.0,1
Ruusuvuori E.,55,158,79,79,16,18,63,61,Coric B.,15,343,185,158,28,28,157,130,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,2.1,1.66,0
Chardy J.,542,591,289,302,44,48,245,254,Simon G.,188,869,491,378,135,94,356,284,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.83,1.83,1
Duckworth J.,123,143,55,88,10,9,45,79,Humbert U.,36,170,80,90,23,21,57,69,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,3.25,1.33,1
Kukushkin M.,221,352,141,211,50,49,91,162,Wawrinka S.,72,854,535,319,84,69,451,250,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,3.4,1.3,0
Paul T.,14,204,111,93,19,13,92,80,Popyrin A.,90,140,59,81,9,13,50,68,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.4,2.75,0
Mcdonald M.,60,190,87,103,11,15,76,88,Bolt A.,345,40,13,27,0,0,13,27,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,1.36,3.0,0
Coria F.,108,99,43,56,2,6,41,50,Fritz T.,9,356,205,151,26,22,179,129,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,5.5,1.14,0
Vesely J.,528,288,130,158,6,19,124,139,Ruud C.,4,275,176,99,19,16,157,83,Murray River Open,Melbourne,Outdoor,Hard,2021-02-03,2.0,1.72,1
Anderson K.,652,598,347,251,48,38,299,213,Stebe C.M.,231,76,28,48,4,7,24,41,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,1.2,4.33,1
Majchrzak K.,121,50,19,31,3,4,16,27,Van De Zandschulp B.,44,117,63,54,11,11,52,43,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,1.72,2.0,0
Bedene A.,347,291,131,160,18,23,113,137,Sweeny D.,797,2,1,1,0,0,1,1,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,1.14,5.5,1
Hurkacz H.,17,238,137,101,27,24,110,77,Torpegaard M.,188,4,1,3,0,0,1,3,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,1.22,4.0,1
Kwon S.W.,68,108,53,55,12,6,41,49,Kecmanovic M.,40,210,107,103,12,16,95,87,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,2.37,1.53,0
Travaglia S.,1024,81,27,54,5,12,22,42,Querrey S.,287,678,369,309,48,39,321,270,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,2.1,1.66,1
Cuevas P.,149,421,210,211,34,25,176,186,Haase R.,257,458,202,256,35,54,167,202,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,2.2,1.61,1
Herbert P.H.,157,202,89,113,31,38,58,75,Thompson J.,71,221,96,125,10,10,86,115,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,2.25,1.57,0
Monteiro T.,121,171,69,102,9,11,60,91,Ebden M.,432,203,75,128,13,18,62,110,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,1.53,2.37,1
Stakhovsky S.,200,339,145,194,46,51,99,143,Opelka R.,17,168,88,80,17,10,71,70,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,3.25,1.33,0
O Connell C.,74,65,26,39,0,0,26,39,Bublik A.,25,219,110,109,39,30,71,79,Great Ocean Road Open,Melbourne,Outdoor,Hard,2021-02-03,2.5,1.5,0
